rank,material_id,formula,elements,density,band_gap,energy_above_hull,formation_energy_per_atom,is_stable,hull_score,formation_score,stable_score,overall_score
1,mp-16691,SrLi2Ti6O14,"Li,O,Sr,Ti",3.7273627993688394,2.8389000000000006,0.0,-3.393170181050724,True,1.0,0.8997882725121998,1,0.96492589537927
2,mp-558083,BaLi2Ti6O14,"Ba,Li,O,Ti",3.942498188824059,2.8908,0.0,-3.392609160507246,True,1.0,0.8995688875097912,1,0.9648491106284269
3,mp-5670,LiTi2O4,"Li,O,Ti",3.741150170795575,0.0,0.0,-3.2462103921428573,True,1.0,0.842320192210514,1,0.9448120672736798
4,mp-774752,Li2MgTi3O8,"Li,Mg,O,Ti",3.409909553944672,3.2916,0.0,-3.236714967440475,True,1.0,0.838607041604145,1,0.9435124645614508
5,mp-766823,Li7Ti11O24,"Li,O,Ti",3.623655040169891,0.0,0.0,-3.227670473333334,True,1.0,0.8350702257343076,1,0.9422745790070076
6,mp-554324,LiCa9Mn(PO4)7,"Ca,Li,Mn,O,P",3.052860113764219,4.290800000000001,0.0,-3.220385979538356,True,1.0,0.8322216514577797,1,0.9412775780102228
7,mp-558619,Li2Ti6PbO14,"Li,O,Pb,Ti",4.441406339791281,2.764,0.0,-3.205108132572464,True,1.0,0.8262473060752942,1,0.939186557126353
8,mp-6332,Li2TiSiO5,"Li,O,Si,Ti",2.9937525790871207,3.2153,0.0,-3.102775733333333,True,1.0,0.7862306009572334,1,0.9251807103350317
9,mp-775865,Li2Ti3MnO8,"Li,Mn,O,Ti",3.647417117178673,2.3697,0.0,-3.0903400753284083,True,1.0,0.7813676830247687,1,0.923478689058669
10,mp-554685,Li2U3V2O15,"Li,O,U,V",5.127805167577444,2.2727,0.0,-3.07520563462121,True,1.0,0.7754494161277766,1,0.9214072956447218
11,mp-769637,Li5Ti6FeO16,"Fe,Li,O,Ti",3.503329795870849,2.6955,0.0,-3.0683376697023803,True,1.0,0.7727637239231429,1,0.9204673033731
12,mp-774797,Li2Ti3ZnO8,"Li,O,Ti,Zn",3.867060881097473,3.1268,0.0,-3.055663913869047,True,1.0,0.7678076987181083,1,0.9187326945513379
13,mp-867665,LiV3(OF3)2,"F,Li,O,V",3.700574841050288,1.4935000000000005,0.0,-3.051361403194444,True,1.0,0.7661252178790676,1,0.9181438262576737
14,mp-6668,LiTiPO5,"Li,O,P,Ti",3.2641744031190925,3.0592,0.0,-3.0461979839136912,True,1.0,0.7641060819231524,1,0.9174371286731033
15,mp-759849,Li2Ti6Zn3O16,"Li,O,Ti,Zn",4.122407635287762,2.8292,0.0,-3.0193851969135808,True,1.0,0.7536210410294127,1,0.9137673643602945
16,mp-18640,LiTi2(PO4)3,"Li,O,P,Ti",2.8447677506328555,2.4404,0.0,-3.0181969082738096,True,1.0,0.7531563651648144,1,0.913604727807685
17,mp-768110,Li2Ti3CoO8,"Co,Li,O,Ti",3.798857958366561,2.4416,0.0,-2.982573306904761,True,1.0,0.7392258879960211,1,0.9087290607986074
18,mp-2931,Li2TiO3,"Li,O,Ti",3.4630378844458267,3.0338000000000003,0.0,-2.9819544033333343,True,1.0,0.7389838680502517,1,0.9086443538175881
19,mp-38280,LiTiO2,"Li,O,Ti",4.185257859783532,0.0,0.0,-2.979356947916666,True,1.0,0.7379681427448846,1,0.9082888499607097
20,mp-765346,LiV(SiO3)2,"Li,O,Si,V",3.2405355298460496,2.1655,0.0,-2.9744452697083346,True,1.0,0.7360474492015004,1,0.9076166072205252
21,mp-775326,Li2Ti3NiO8,"Li,Ni,O,Ti",3.827367244118316,2.7066,0.0,-2.958395378511906,True,1.0,0.7297711987865797,1,0.9054199195753029
22,mp-756275,LiTiCrO4,"Cr,Li,O,Ti",3.781342244669196,1.6508999999999996,0.0,-2.8864166684523807,True,1.0,0.7016241912244918,1,0.8955684669285722
23,mp-1223017,Li2TiCr(PO4)3,"Cr,Li,O,P,Ti",3.028601766151364,1.7711999999999994,0.0,-2.8408865457330834,True,1.0,0.6838198056301538,1,0.8893369319705539
24,mp-25423,LiVPO4F,"F,Li,O,P,V",3.1041441868381128,1.6248000000000002,0.0,-2.837667615059525,True,1.0,0.6825610547309564,1,0.8888963691558348
25,mp-1199210,Li3MnP2(O3F2)2,"F,Li,Mn,O,P",2.7375184446447065,1.7227,0.0,-2.8025025071697978,True,1.0,0.6688098697364596,1,0.8840834544077608
26,mp-18860,Li2VSiO5,"Li,O,Si,V",3.063754286888888,2.3621,0.0,-2.765965153518519,True,1.0,0.6545220731272853,1,0.8790827255945498
27,mp-25448,LiCrPO4F,"Cr,F,Li,O,P",3.225401511779413,2.2771,0.0,-2.757145434122024,True,1.0,0.6510731545742391,1,0.8778756041009838
28,mp-1222972,Li2TiFe(PO4)3,"Fe,Li,O,P,Ti",2.9133801887894184,2.3733000000000004,0.0,-2.756518660206767,True,1.0,0.6508280569597101,1,0.8777898199358986
