material_id,formula,literature_class,title,year,journal,doi,citation_count,url
mp-6396,Li3V2(PO4)3,CHEMISTRY_ONLY,Li2.5V2(PO4)3: A Room-Temperature Analogue to the Fast-Ion Conducting High-Temperature g-phase of Li3V2(PO4)3,2020,,10.1021/cm034802f.s001,0,https://doi.org/10.1021/cm034802f.s001
mp-6396,Li3V2(PO4)3,CHEMISTRY_ONLY,Li2.5V2(PO4)3: A Room-Temperature Analogue to the Fast-Ion Conducting High-Temperature g-phase of Li3V2(PO4)3,2020,,10.1021/cm034802f.s002,0,https://doi.org/10.1021/cm034802f.s002
mp-6396,Li3V2(PO4)3,DIRECT_CATHODE,Electrochemical and Structural Investigation of the Mechanism of Irreversibility in Li3V2(PO4)3 Cathodes,2020,,10.1021/acs.jpcc.6b00408.s001,0,https://doi.org/10.1021/acs.jpcc.6b00408.s001
mp-6396,Li3V2(PO4)3,DIRECT_CATHODE,Configuration of Li-Ion Vanadium Batteries: Li3V2(PO4)3(cathode) Li3V2(PO4)3(anode),2013,ECS Electrochemistry Letters,10.1149/2.008307eel,21,https://doi.org/10.1149/2.008307eel
mp-6396,Li3V2(PO4)3,CHEMISTRY_ONLY,Unraveling the Relationship between Ti4+ Doping and Li+ Mobility Enhancement in Ti4+ Doped Li3V2(PO4)3,2020,,10.1021/acsaem.9b01909.s001,0,https://doi.org/10.1021/acsaem.9b01909.s001
mp-6396,Li3V2(PO4)3,BATTERY_RELATED,Investigation of material composite Li3V2(PO4)3 with LiMn2-xNixO4 for Li-ion batteries,2021,,10.17760/d20000128,0,https://doi.org/10.17760/d20000128
mp-6396,Li3V2(PO4)3,DIRECT_CATHODE,Facile synthesis of spherical Li3V2(PO4)3/C and 2LiVPO4F⋅Li3V2(PO4)3/C cathode materials by spray drying for lithium-ion battries,2023,Functional Materials Letters,10.1142/s1793604723500182,1,https://doi.org/10.1142/s1793604723500182
mp-6396,Li3V2(PO4)3,DIRECT_CATHODE,Electrochemical Properties of Li3V2(PO4)3 Cathode Material using a Supercritical Synthesis,2023,Journal of Industrial Science and Technology Institute,10.54726/jisti.37.1.4,0,https://doi.org/10.54726/jisti.37.1.4
mp-6396,Li3V2(PO4)3,BATTERY_RELATED,Interface-Controlled Rhombohedral Li3V2(PO4)3 Embedded in Carbon Nanofibers with Ultrafast Kinetics for Li-Ion Batteries,2020,,10.1021/acs.jpclett.0c01035.s001,0,https://doi.org/10.1021/acs.jpclett.0c01035.s001
mp-6396,Li3V2(PO4)3,DIRECT_CATHODE,Investigating the Structure of an Active MaterialCarbon Interface in the Monoclinic Li3V2(PO4)3/C Composite Cathode,2020,,10.1021/acsaem.9b00410.s001,0,https://doi.org/10.1021/acsaem.9b00410.s001
mp-6396,Li3V2(PO4)3,DIRECT_CATHODE,In Situ Generation of Protective Layer in Aqueous Zinc Batteries to Stabilize the Voltage of Li3V2(PO4)3 Cathode,2024,,10.1021/acssuschemeng.4c00559.s001,0,https://doi.org/10.1021/acssuschemeng.4c00559.s001
mp-6396,Li3V2(PO4)3,DIRECT_CATHODE,An Extremely Fast Charging Li3V2(PO4)3 Cathode at a 4.8 V Cutoff Voltage for Li-Ion Batteries,2020,,10.1021/acsenergylett.0c00702.s001,0,https://doi.org/10.1021/acsenergylett.0c00702.s001
mp-6396,Li3V2(PO4)3,DIRECT_CATHODE,Anthracite-Derived Dual-Phase Carbon-Coated Li3V2(PO4)3 as High-Performance Cathode Material for Lithium Ion Batteries,2020,,10.1021/acsami.7b14117.s001,0,https://doi.org/10.1021/acsami.7b14117.s001
mp-6396,Li3V2(PO4)3,BATTERY_RELATED,Preparation and Electrochemical Studies of Fe2+ and Cl Codoped Li3V2(PO4)3 with Superior Cyclic Stability and Rate Performance,2025,,10.1021/acsaem.5c01998.s001,0,https://doi.org/10.1021/acsaem.5c01998.s001
mp-6396,Li3V2(PO4)3,DIRECT_CATHODE,Highly Efficient Storage of Pulse Energy Produced by Triboelectric Nanogenerator in Li3V2(PO4)3/C Cathode Li-Ion Batteries,2020,,10.1021/acsami.5b10262.s001,0,https://doi.org/10.1021/acsami.5b10262.s001
mp-6396,Li3V2(PO4)3,DIRECT_CATHODE,Kinetics of conventional carbon coated-Li3V2(PO4)3 and nanocomposite Li3V2(PO4)3/graphene as cathode materials for lithium ion batteries,2012,Journal of Materials Chemistry,10.1039/c2jm31004j,118,https://doi.org/10.1039/c2jm31004j
mp-6396,Li3V2(PO4)3,DIRECT_CATHODE,Defects and dopant properties of Li3V2(PO4)3,2019,Scientific Reports,10.1038/s41598-018-36398-w,43,https://doi.org/10.1038/s41598-018-36398-w
mp-6396,Li3V2(PO4)3,CHEMISTRY_ONLY,High rate capability of Li3V2(PO4)3/C composites prepared via a TPP-assisted carbothermal method and its application in Li3V2(PO4)3||Li4Ti5O12,2014,Journal of Alloys and Compounds,10.1016/j.jallcom.2013.11.081,19,https://doi.org/10.1016/j.jallcom.2013.11.081
mp-6396,Li3V2(PO4)3,DIRECT_CATHODE,A Novel Composite Li3V2(PO4)3?Li2NaV2(PO4)3/C as Cathode Material for Li-Ion Batteries,2018,Australian Journal of Chemistry,10.1071/ch18122,3,https://doi.org/10.1071/ch18122
mp-6396,Li3V2(PO4)3,CHEMISTRY_ONLY,Three-dimensional carbon network supported Li3V2(PO4)3/C and Na3V2(PO4)3/C composites for lithium/sodium storage,2022,Applied Surface Science,10.1016/j.apsusc.2022.154285,18,https://doi.org/10.1016/j.apsusc.2022.154285
mp-6396,Li3V2(PO4)3,BATTERY_RELATED,A comparative structural and electrochemical study of monoclinic Li3Fe2(PO4)3 and Li3V2(PO4)3,2003,Journal of Power Sources,10.1016/s0378-7753(03)00150-2,209,https://doi.org/10.1016/s0378-7753(03)00150-2
mp-6396,Li3V2(PO4)3,DIRECT_CATHODE,Optimize performance of Li3V2(PO4)3/C cathode composite materials through Ti doping,2019,Ionics,10.1007/s11581-019-02917-6,5,https://doi.org/10.1007/s11581-019-02917-6
mp-6396,Li3V2(PO4)3,BATTERY_RELATED,Lithiation mechanisms of Li3V2(PO4)3,2026,Journal of Power Sources,10.1016/j.jpowsour.2026.239920,0,https://doi.org/10.1016/j.jpowsour.2026.239920
mp-6396,Li3V2(PO4)3,CHEMISTRY_ONLY,Vibrational spectroscopic studies of monoclinic and rhombohedral Li3V2(PO4)3,2007,Solid State Ionics,10.1016/j.ssi.2006.09.017,66,https://doi.org/10.1016/j.ssi.2006.09.017
mp-6396,Li3V2(PO4)3,BATTERY_RELATED,A comparative structural and electrochemical study of monoclinic Li3V2(PO4)3/C and rhombohedral Li2.5Na0.5V(2−2x/3)Nix(PO4)3/C,2013,Electrochimica Acta,10.1016/j.electacta.2013.04.066,26,https://doi.org/10.1016/j.electacta.2013.04.066
mp-6396,Li3V2(PO4)3,DIRECT_CATHODE,Advanced Electrolyte Coupled with Li3v2(Po4)3/C Cathode for Enhanced Low-Temperature Lithium-Ion Battery Performance,2024,,10.2139/ssrn.5004745,0,https://doi.org/10.2139/ssrn.5004745
mp-6396,Li3V2(PO4)3,DIRECT_CATHODE,Advanced Electrolyte Coupled with Li3v2(Po4)3/C Cathode for Enhanced Low-Temperature Lithium-Ion Battery Performance,2024,,10.2139/ssrn.5038617,0,https://doi.org/10.2139/ssrn.5038617
mp-6396,Li3V2(PO4)3,DIRECT_CATHODE,Enhanced electrochemical performance of lithium ion battery cathode Li3V2(PO4)3/C,2017,Ionics,10.1007/s11581-017-2128-4,9,https://doi.org/10.1007/s11581-017-2128-4
mp-6396,Li3V2(PO4)3,DIRECT_CATHODE,Surfactant-assisted solution combustion synthesis of Li3V2(PO4)3/C cathode material for lithium-ion battery,2025,Electrochemistry Communications,10.1016/j.elecom.2025.108062,2,https://doi.org/10.1016/j.elecom.2025.108062
mp-6396,Li3V2(PO4)3,DIRECT_CATHODE,Composites of LiMnPO4 with Li3V2(PO4)3 for cathode in lithium-ion battery,2013,Electrochimica Acta,10.1016/j.electacta.2013.03.201,39,https://doi.org/10.1016/j.electacta.2013.03.201
mp-6396,Li3V2(PO4)3,DIRECT_CATHODE,Novel multi-valent rechargeable ion battery: An organic nickel ion battery with Li3V2(PO4)3 cathode,2022,Chemical Engineering Journal,10.1016/j.cej.2022.135445,14,https://doi.org/10.1016/j.cej.2022.135445
mp-6396,Li3V2(PO4)3,DIRECT_CATHODE,Li3V2(PO4)3/graphene nanocomposite as a high performance cathode material for lithium ion battery,2015,Ceramics International,10.1016/j.ceramint.2014.08.082,24,https://doi.org/10.1016/j.ceramint.2014.08.082
mp-6396,Li3V2(PO4)3,DIRECT_CATHODE,Li3V2(PO4)3/C nanofibers composite as a high performance cathode material for lithium-ion battery,2013,Journal of Power Sources,10.1016/j.jpowsour.2013.01.164,78,https://doi.org/10.1016/j.jpowsour.2013.01.164
